date,1. open,2. high,3. low,4. close,5. volume
2023-06-06,12.64,13.905,12.43,13.69,20407897.0
2023-06-07,13.8,14.48,13.622,13.68,15822715.0
2023-06-08,13.71,15.08,13.7,14.92,16465383.0
2023-06-09,15.09,15.25,14.405,14.55,9755082.0
2023-06-12,15.81,16.09,15.33,15.74,11456165.0
2023-06-13,15.98,16.18,15.62,15.79,7803202.0
2023-06-14,15.76,16.18,15.57,16.1,8569726.0
2023-06-15,15.78,16.76,15.72,16.65,8252342.0
2023-06-16,17.26,17.275,16.01,16.09,16471523.0
2023-06-20,15.97,16.25,15.23,15.27,6877528.0
2023-06-21,15.09,15.335,14.54,15.11,7612864.0
2023-06-22,15.11,15.63,14.94,15.24,5060430.0
2023-06-23,15.0,15.52,14.72,15.45,8801386.0
2023-06-26,15.35,15.54,14.84,14.93,6113292.0
2023-06-27,15.15,15.63,15.0493,15.57,5879322.0
2023-06-28,15.4,15.61,14.815,14.88,10064178.0
2023-06-29,14.86,15.1788,14.68,14.86,7047702.0
2023-06-30,15.02,15.6,15.02,15.1,9353750.0
2023-07-03,15.22,15.24,14.86,15.13,3963188.0
2023-07-05,15.0,15.23,14.9,15.03,6951017.0
2023-07-06,14.65,14.805,14.32,14.41,6150736.0
2023-07-07,14.42,14.66,14.195,14.29,5851431.0
